customer_id,name,email,phone,address,dob,account_open_date
C1000,Norma Fisher,tammy76@example.com,459.638.2421x9489,"578 Michael Island, New Thomas, VI 68835",1961-07-18,2024-03-08
C1001,Alexis Cortez,ypage@example.net,+1-909-375-3513x9332,"714 Mann Plaza Suite 839, Seanfurt, MD 75952",1960-05-21,2017-12-21
C1002,Amanda Zavala,thomas12@example.org,8186684833,"59179 Bruce Gardens Apt. 413, Lauramouth, NE 08652",1951-06-22,2017-08-06
C1003,Amber Berry,johnsoncynthia@example.net,001-516-415-1090,"00869 Mary Cliff Apt. 145, Whitehaven, NH 05662",1982-09-18,2023-02-16
C1004,David Strong,kmassey@example.org,001-230-922-5841x972,"564 Ann Bridge Suite 150, Dennisfort, MI 80472",1963-04-10,2019-09-23
C1005,Madeline Oliver,paul61@example.org,+1-835-223-3769x606,"2787 Nicole Park, Larrymouth, AR 54913",1956-12-23,2026-02-16
C1006,Angela Swanson,moraleserika@example.com,5306089131,"76104 Marsh Crescent, Dennishaven, GU 85800",1985-10-07,2017-04-14
C1007,Samuel Williams,eringrant@example.com,001-509-877-6582,"24555 Matthew River, North Josephberg, OR 38450",1967-11-15,2026-01-10
C1008,Brian Cross,parkermelody@example.net,946-954-6118,"71760 Rogers Spur Apt. 296, North Lindseyborough, WA 29475",1948-12-27,2016-03-18
C1009,Joseph West,tkramer@example.net,561.753.4926,"731 Sanders Fords, Port Jasonberg, CT 26449",1974-01-05,2019-10-02
C1010,Ashley Carlson,zhernandez@example.net,+1-768-275-7738x93055,"269 Robbins Valley Suite 118, North Jeffreyton, ME 02504",1992-12-11,2020-08-14
C1011,Rebecca Melton,gschmitt@example.com,980.891.8916x34896,"02489 Cook Park, Sherriport, WI 53987",1969-05-03,2019-12-21
C1012,Timothy Allen,brian07@example.com,(979)812-5609,"2009 Crystal Cove, Jamesfort, DE 08386",1983-07-28,2020-10-21
C1013,Gail Martinez,kristina26@example.com,001-218-930-6753x7510,"993 Clayton Viaduct, Hunterville, FL 56333",2001-04-27,2020-05-09
C1014,Brian Brown,uayala@example.org,266.707.5415x115,"51923 Jamie Spring, Lake Adrianstad, UT 03731",2003-11-25,2018-06-18
C1015,Jesse Woods,david35@example.com,844.485.2911x8942,"USNS Stewart, FPO AE 31520",1992-09-09,2019-01-17
C1016,Angel Anderson,longjacqueline@example.org,(248)862-9645x13758,"573 Carter Mountains Apt. 214, New Catherineberg, WY 92591",1973-03-30,2020-02-14
C1017,Jessica Wright,hpeterson@example.org,(671)373-4079x703,"926 Davis Parks Apt. 864, North Josephton, AL 34130",1970-03-27,2025-01-15
C1018,Jill Francis,justin39@example.org,4143485183,"8298 Amanda Loop Suite 447, Ashleyberg, GA 16661",1989-01-17,2019-12-13
C1019,Brenda Barnett,crystal63@example.com,785.970.7427x0930,"116 Michael Crescent, West Morganport, VA 30213",1953-12-31,2021-11-11
C1020,Jeffrey Moran,ajackson@example.net,+1-962-872-8523x27566,"3906 Jim Corner, West Brian, SC 89301",1956-01-22,2022-03-30
C1021,Michele Hunt,kelsey56@example.com,5887697747,"25040 Bryce Meadow, New Randy, PW 29464",1973-09-19,2019-07-13
C1022,Stephen Norton,amanda54@example.org,803.651.3853x34448,"48107 Hardy Causeway, Wernermouth, NV 15983",1950-07-13,2018-07-18
C1023,Brittany Henson,scottjones@example.com,+1-760-723-7324,"Unit 1849 Box 8347, DPO AP 79756",1974-03-31,2022-06-24
C1024,Alan Mendez,thompsonrobert@example.org,608-586-0164x1953,"84535 Mitchell Extension, Port Alexis, NY 43477",1968-04-03,2022-06-25
C1025,Sherri Moore,williamjones@example.org,001-279-733-2365x99271,"38277 Padilla Common Suite 296, Port Leslie, LA 50844",2004-08-04,2018-03-22
C1026,Paul Wright,qbarnett@example.net,245.424.0598,"003 Alexander Shoal Suite 105, Taylorborough, NV 57545",1954-01-31,2019-04-03
C1027,Monica Floyd,areyes@example.com,+1-287-409-1662,"53230 Julia Villages, Lake Christian, VI 78866",1951-09-01,2022-06-03
C1028,Lisa Williams,linda60@example.net,7714542738,"4760 Moreno Heights Suite 089, Sarahton, NH 52282",1990-08-01,2020-03-04
C1029,Alex Singh Jr.,wanda38@example.net,264-231-9539x85225,"4457 Burke Extension Apt. 290, Martineztown, VA 63469",2002-06-16,2022-10-11
C1030,Deanna Salazar,dunnrodney@example.org,221.829.1889x66444,"8885 Lee Tunnel Suite 208, Port Donna, WY 74331",1969-05-03,2020-10-10
C1031,Thomas Fields,rachelcox@example.org,+1-535-970-3934x26197,"27166 King Throughway, Chelsealand, ME 04450",1976-02-29,2023-10-05
C1032,James Graham,cterry@example.net,259.329.4506x782,"0131 Williams Ville Apt. 562, Richardberg, PA 19832",1970-08-07,2019-03-13
C1033,Calvin Anderson,tthornton@example.net,3804862591,"5448 Lutz Drives, Tranton, SC 77244",1956-04-13,2021-04-04
C1034,Emily Arroyo,deborahbryant@example.org,282.352.7808x185,"756 Archer Wall Apt. 250, Lake David, MA 80124",1957-04-25,2020-04-09
C1035,Eric Price,burkelaura@example.org,(816)407-5994x497,"61511 Michael Fall Suite 905, Gibbsfort, NJ 11045",1999-03-10,2021-06-28
C1036,Richard Schaefer,wongcody@example.org,451-470-2840x06528,"395 Timothy Road, Williamsbury, SC 37407",1965-11-01,2025-10-18
C1037,Christopher Fisher,nancy26@example.net,001-202-390-6220x05800,"60669 Dawson Dam, Williamside, MO 10075",1953-04-24,2021-10-17
C1038,Brent Huang,thomaswalker@example.com,276.991.4485,"95618 Douglas Lock Apt. 666, Lake Stevenmouth, GA 22731",1966-08-02,2020-03-30
C1039,Whitney Campbell,mahoneymichael@example.net,(678)803-4295x460,"6352 Daniel Knolls Apt. 069, Fordland, WI 56262",1979-06-19,2021-09-03
C1040,Daniel Perez,lorikelly@example.net,001-645-516-4258x5826,"6784 Forbes Via Apt. 220, Lake Kimberlyborough, PA 84950",1983-02-18,2021-04-08
C1041,Nicholas Jackson,leonalex@example.com,001-375-417-5947x3288,"693 Erickson Lodge, Andrewberg, PW 51385",1955-12-06,2020-07-17
C1042,James Lang,gcook@example.com,9796148786,"49271 Timothy Port Suite 814, Hallville, LA 18991",1967-10-13,2017-01-27
C1043,Amy Wade,adrianatkins@example.net,001-997-617-8551x033,"5851 Kevin Manors, Lake Michael, MS 99877",1954-04-20,2019-01-05
